hidden_layers,activation_fn,epochs,learning_rate,batch_size,final_accuracy
[4],ReLU,10,0.1,16,0.848780487804878
[4],ReLU,10,0.1,32,0.8390243902439024
[4],ReLU,10,0.1,64,0.8731707317073171
[4],ReLU,10,0.1,128,0.8439024390243902
[4],ReLU,10,0.01,16,0.8292682926829268
[4],ReLU,10,0.01,32,0.8439024390243902
[4],ReLU,10,0.01,64,0.8390243902439024
[4],ReLU,10,0.01,128,0.7853658536585366
[4],ReLU,10,0.001,16,0.7853658536585366
[4],ReLU,10,0.001,32,0.7951219512195122
[4],ReLU,10,0.001,64,0.7170731707317073
[4],ReLU,10,0.001,128,0.7609756097560976
[4],ReLU,25,0.1,16,0.824390243902439
[4],ReLU,25,0.1,32,0.8048780487804879
[4],ReLU,25,0.1,64,0.8780487804878049
[4],ReLU,25,0.1,128,0.8682926829268293
[4],ReLU,25,0.01,16,0.8439024390243902
[4],ReLU,25,0.01,32,0.8341463414634146
[4],ReLU,25,0.01,64,0.8195121951219512
[4],ReLU,25,0.01,128,0.8048780487804879
[4],ReLU,25,0.001,16,0.8146341463414634
[4],ReLU,25,0.001,32,0.8048780487804879
[4],ReLU,25,0.001,64,0.8097560975609757
[4],ReLU,25,0.001,128,0.7804878048780488
[4],ReLU,50,0.1,16,0.8536585365853658
[4],ReLU,50,0.1,32,0.8926829268292683
[4],ReLU,50,0.1,64,0.9024390243902439
[4],ReLU,50,0.1,128,0.8780487804878049
[4],ReLU,50,0.01,16,0.848780487804878
[4],ReLU,50,0.01,32,0.8878048780487805
[4],ReLU,50,0.01,64,0.7902439024390244
[4],ReLU,50,0.01,128,0.8292682926829268
[4],ReLU,50,0.001,16,0.8341463414634146
[4],ReLU,50,0.001,32,0.8195121951219512
[4],ReLU,50,0.001,64,0.8146341463414634
[4],ReLU,50,0.001,128,0.8146341463414634
[4],Sigmoid,10,0.1,16,0.8146341463414634
[4],Sigmoid,10,0.1,32,0.8634146341463415
[4],Sigmoid,10,0.1,64,0.848780487804878
[4],Sigmoid,10,0.1,128,0.824390243902439
[4],Sigmoid,10,0.01,16,0.8
[4],Sigmoid,10,0.01,32,0.7951219512195122
[4],Sigmoid,10,0.01,64,0.8
[4],Sigmoid,10,0.01,128,0.8
[4],Sigmoid,10,0.001,16,0.8146341463414634
[4],Sigmoid,10,0.001,32,0.775609756097561
[4],Sigmoid,10,0.001,64,0.7024390243902439
[4],Sigmoid,10,0.001,128,0.6
[4],Sigmoid,25,0.1,16,0.8439024390243902
[4],Sigmoid,25,0.1,32,0.8731707317073171
[4],Sigmoid,25,0.1,64,0.8634146341463415
[4],Sigmoid,25,0.1,128,0.8439024390243902
[4],Sigmoid,25,0.01,16,0.8390243902439024
[4],Sigmoid,25,0.01,32,0.8
[4],Sigmoid,25,0.01,64,0.8
[4],Sigmoid,25,0.01,128,0.8
[4],Sigmoid,25,0.001,16,0.8097560975609757
[4],Sigmoid,25,0.001,32,0.7951219512195122
[4],Sigmoid,25,0.001,64,0.7560975609756098
[4],Sigmoid,25,0.001,128,0.7658536585365854
[4],Sigmoid,50,0.1,16,0.8878048780487805
[4],Sigmoid,50,0.1,32,0.9073170731707317
[4],Sigmoid,50,0.1,64,0.9170731707317074
[4],Sigmoid,50,0.1,128,0.8878048780487805
[4],Sigmoid,50,0.01,16,0.8585365853658536
[4],Sigmoid,50,0.01,32,0.8536585365853658
[4],Sigmoid,50,0.01,64,0.8097560975609757
[4],Sigmoid,50,0.01,128,0.824390243902439
[4],Sigmoid,50,0.001,16,0.8
[4],Sigmoid,50,0.001,32,0.8
[4],Sigmoid,50,0.001,64,0.8048780487804879
[4],Sigmoid,50,0.001,128,0.7804878048780488
[4],Tanh,10,0.1,16,0.8780487804878049
[4],Tanh,10,0.1,32,0.8585365853658536
[4],Tanh,10,0.1,64,0.8195121951219512
[4],Tanh,10,0.1,128,0.8292682926829268
[4],Tanh,10,0.01,16,0.824390243902439
[4],Tanh,10,0.01,32,0.8195121951219512
[4],Tanh,10,0.01,64,0.8
[4],Tanh,10,0.01,128,0.7951219512195122
[4],Tanh,10,0.001,16,0.7902439024390244
[4],Tanh,10,0.001,32,0.8
[4],Tanh,10,0.001,64,0.7024390243902439
[4],Tanh,10,0.001,128,0.6097560975609756
[4],Tanh,25,0.1,16,0.8731707317073171
[4],Tanh,25,0.1,32,0.8439024390243902
[4],Tanh,25,0.1,64,0.8829268292682927
[4],Tanh,25,0.1,128,0.8878048780487805
[4],Tanh,25,0.01,16,0.8439024390243902
[4],Tanh,25,0.01,32,0.8731707317073171
[4],Tanh,25,0.01,64,0.8682926829268293
[4],Tanh,25,0.01,128,0.8390243902439024
[4],Tanh,25,0.001,16,0.7951219512195122
[4],Tanh,25,0.001,32,0.8
[4],Tanh,25,0.001,64,0.7902439024390244
[4],Tanh,25,0.001,128,0.7268292682926829
[4],Tanh,50,0.1,16,0.9024390243902439
[4],Tanh,50,0.1,32,0.8341463414634146
[4],Tanh,50,0.1,64,0.8536585365853658
[4],Tanh,50,0.1,128,0.8780487804878049
[4],Tanh,50,0.01,16,0.8634146341463415
[4],Tanh,50,0.01,32,0.8780487804878049
[4],Tanh,50,0.01,64,0.8390243902439024
[4],Tanh,50,0.01,128,0.8536585365853658
[4],Tanh,50,0.001,16,0.8
[4],Tanh,50,0.001,32,0.8146341463414634
[4],Tanh,50,0.001,64,0.7902439024390244
[4],Tanh,50,0.001,128,0.8
[4],Softmax,10,0.1,16,0.8634146341463415
[4],Softmax,10,0.1,32,0.8341463414634146
[4],Softmax,10,0.1,64,0.8341463414634146
[4],Softmax,10,0.1,128,0.8048780487804879
[4],Softmax,10,0.01,16,0.8390243902439024
[4],Softmax,10,0.01,32,0.824390243902439
[4],Softmax,10,0.01,64,0.824390243902439
[4],Softmax,10,0.01,128,0.7951219512195122
[4],Softmax,10,0.001,16,0.7951219512195122
[4],Softmax,10,0.001,32,0.7609756097560976
[4],Softmax,10,0.001,64,0.751219512195122
[4],Softmax,10,0.001,128,0.5024390243902439
[4],Softmax,25,0.1,16,0.8536585365853658
[4],Softmax,25,0.1,32,0.8780487804878049
[4],Softmax,25,0.1,64,0.8731707317073171
[4],Softmax,25,0.1,128,0.824390243902439
[4],Softmax,25,0.01,16,0.8439024390243902
[4],Softmax,25,0.01,32,0.8
[4],Softmax,25,0.01,64,0.8048780487804879
[4],Softmax,25,0.01,128,0.8195121951219512
[4],Softmax,25,0.001,16,0.824390243902439
[4],Softmax,25,0.001,32,0.8097560975609757
[4],Softmax,25,0.001,64,0.8
[4],Softmax,25,0.001,128,0.7658536585365854
[4],Softmax,50,0.1,16,0.8731707317073171
[4],Softmax,50,0.1,32,0.8731707317073171
[4],Softmax,50,0.1,64,0.8780487804878049
[4],Softmax,50,0.1,128,0.8341463414634146
[4],Softmax,50,0.01,16,0.8536585365853658
[4],Softmax,50,0.01,32,0.848780487804878
[4],Softmax,50,0.01,64,0.8439024390243902
[4],Softmax,50,0.01,128,0.8536585365853658
[4],Softmax,50,0.001,16,0.7902439024390244
[4],Softmax,50,0.001,32,0.8146341463414634
[4],Softmax,50,0.001,64,0.8292682926829268
[4],Softmax,50,0.001,128,0.7951219512195122
[4],Identity,10,0.1,16,0.7853658536585366
[4],Identity,10,0.1,32,0.8
[4],Identity,10,0.1,64,0.7804878048780488
[4],Identity,10,0.1,128,0.7902439024390244
[4],Identity,10,0.01,16,0.7902439024390244
