hidden_layers,activation_fn,epochs,learning_rate,batch_size,final_accuracy
[8],ReLU,10,0.1,16,0.824390243902439
[8],ReLU,10,0.1,32,0.8682926829268293
[8],ReLU,10,0.1,64,0.8682926829268293
[8],ReLU,10,0.01,16,0.824390243902439
[8],ReLU,10,0.01,32,0.848780487804878
[8],ReLU,10,0.01,64,0.8146341463414634
[8],ReLU,10,0.001,16,0.8097560975609757
[8],ReLU,10,0.001,32,0.775609756097561
[8],ReLU,10,0.001,64,0.7414634146341463
[8],ReLU,25,0.1,16,0.8975609756097561
[8],ReLU,25,0.1,32,0.8585365853658536
[8],ReLU,25,0.1,64,0.9317073170731708
[8],ReLU,25,0.01,16,0.9219512195121952
[8],ReLU,25,0.01,32,0.8975609756097561
[8],ReLU,25,0.01,64,0.848780487804878
[8],ReLU,25,0.001,16,0.8
[8],ReLU,25,0.001,32,0.8146341463414634
[8],ReLU,25,0.001,64,0.824390243902439
[8],ReLU,50,0.1,16,0.9219512195121952
[8],ReLU,50,0.1,32,0.9170731707317074
[8],ReLU,50,0.1,64,0.9560975609756097
[8],ReLU,50,0.01,16,0.9414634146341463
[8],ReLU,50,0.01,32,0.9365853658536586
[8],ReLU,50,0.01,64,0.9121951219512195
[8],ReLU,50,0.001,16,0.8195121951219512
[8],ReLU,50,0.001,32,0.848780487804878
[8],ReLU,50,0.001,64,0.8390243902439024
[8],Sigmoid,10,0.1,16,0.9024390243902439
[8],Sigmoid,10,0.1,32,0.8390243902439024
[8],Sigmoid,10,0.1,64,0.8780487804878049
[8],Sigmoid,10,0.01,16,0.7951219512195122
[8],Sigmoid,10,0.01,32,0.8
[8],Sigmoid,10,0.01,64,0.8
[8],Sigmoid,10,0.001,16,0.8048780487804879
[8],Sigmoid,10,0.001,32,0.7707317073170732
[8],Sigmoid,10,0.001,64,0.7853658536585366
[8],Sigmoid,25,0.1,16,0.9073170731707317
[8],Sigmoid,25,0.1,32,0.926829268292683
[8],Sigmoid,25,0.1,64,0.9073170731707317
[8],Sigmoid,25,0.01,16,0.8390243902439024
[8],Sigmoid,25,0.01,32,0.8390243902439024
[8],Sigmoid,25,0.01,64,0.8097560975609757
[8],Sigmoid,25,0.001,16,0.7951219512195122
[8],Sigmoid,25,0.001,32,0.8048780487804879
[8],Sigmoid,25,0.001,64,0.7951219512195122
[8],Sigmoid,50,0.1,16,0.9512195121951219
[8],Sigmoid,50,0.1,32,0.926829268292683
[8],Sigmoid,50,0.1,64,0.9414634146341463
[8],Sigmoid,50,0.01,16,0.9170731707317074
[8],Sigmoid,50,0.01,32,0.8829268292682927
[8],Sigmoid,50,0.01,64,0.824390243902439
[8],Sigmoid,50,0.001,16,0.7951219512195122
[8],Sigmoid,50,0.001,32,0.8
[8],Sigmoid,50,0.001,64,0.8048780487804879
[8],Tanh,10,0.1,16,0.8536585365853658
[8],Tanh,10,0.1,32,0.9170731707317074
[8],Tanh,10,0.1,64,0.9121951219512195
[8],Tanh,10,0.01,16,0.8585365853658536
[8],Tanh,10,0.01,32,0.8731707317073171
[8],Tanh,10,0.01,64,0.8195121951219512
[8],Tanh,10,0.001,16,0.8146341463414634
[8],Tanh,10,0.001,32,0.7902439024390244
[8],Tanh,10,0.001,64,0.7414634146341463
[8],Tanh,25,0.1,16,0.9317073170731708
[8],Tanh,25,0.1,32,0.926829268292683
[8],Tanh,25,0.1,64,0.9170731707317074
[8],Tanh,25,0.01,16,0.9414634146341463
[8],Tanh,25,0.01,32,0.8829268292682927
[8],Tanh,25,0.01,64,0.8975609756097561
[8],Tanh,25,0.001,16,0.8
[8],Tanh,25,0.001,32,0.7951219512195122
[8],Tanh,25,0.001,64,0.7902439024390244
[8],Tanh,50,0.1,16,0.9024390243902439
[8],Tanh,50,0.1,32,0.9121951219512195
[8],Tanh,50,0.1,64,0.9707317073170731
[8],Tanh,50,0.01,16,0.975609756097561
[8],Tanh,50,0.01,32,0.9512195121951219
[8],Tanh,50,0.01,64,0.9707317073170731
[8],Tanh,50,0.001,16,0.8195121951219512
[8],Tanh,50,0.001,32,0.8097560975609757
[8],Tanh,50,0.001,64,0.8
"[16, 8]",ReLU,10,0.1,16,0.848780487804878
"[16, 8]",ReLU,10,0.1,32,0.9073170731707317
"[16, 8]",ReLU,10,0.1,64,0.8682926829268293
"[16, 8]",ReLU,10,0.01,16,0.926829268292683
"[16, 8]",ReLU,10,0.01,32,0.926829268292683
"[16, 8]",ReLU,10,0.01,64,0.8829268292682927
"[16, 8]",ReLU,10,0.001,16,0.8341463414634146
"[16, 8]",ReLU,10,0.001,32,0.8195121951219512
"[16, 8]",ReLU,10,0.001,64,0.8146341463414634
"[16, 8]",ReLU,25,0.1,16,0.8731707317073171
"[16, 8]",ReLU,25,0.1,32,0.8780487804878049
"[16, 8]",ReLU,25,0.1,64,0.9219512195121952
"[16, 8]",ReLU,25,0.01,16,0.9707317073170731
"[16, 8]",ReLU,25,0.01,32,0.975609756097561
"[16, 8]",ReLU,25,0.01,64,0.9512195121951219
"[16, 8]",ReLU,25,0.001,16,0.8682926829268293
"[16, 8]",ReLU,25,0.001,32,0.8439024390243902
"[16, 8]",ReLU,25,0.001,64,0.824390243902439
"[16, 8]",ReLU,50,0.1,16,0.8390243902439024
"[16, 8]",ReLU,50,0.1,32,0.8585365853658536
"[16, 8]",ReLU,50,0.1,64,0.9804878048780488
"[16, 8]",ReLU,50,0.01,16,0.9170731707317074
"[16, 8]",ReLU,50,0.01,32,0.9804878048780488
"[16, 8]",ReLU,50,0.01,64,0.9853658536585366
"[16, 8]",ReLU,50,0.001,16,0.9121951219512195
"[16, 8]",ReLU,50,0.001,32,0.8536585365853658
"[16, 8]",ReLU,50,0.001,64,0.848780487804878
"[16, 8]",Sigmoid,10,0.1,16,0.8975609756097561
"[16, 8]",Sigmoid,10,0.1,32,0.8878048780487805
"[16, 8]",Sigmoid,10,0.1,64,0.8975609756097561
"[16, 8]",Sigmoid,10,0.01,16,0.8048780487804879
"[16, 8]",Sigmoid,10,0.01,32,0.8
"[16, 8]",Sigmoid,10,0.01,64,0.7853658536585366
"[16, 8]",Sigmoid,10,0.001,16,0.8146341463414634
"[16, 8]",Sigmoid,10,0.001,32,0.775609756097561
"[16, 8]",Sigmoid,10,0.001,64,0.7317073170731707
"[16, 8]",Sigmoid,25,0.1,16,0.926829268292683
"[16, 8]",Sigmoid,25,0.1,32,0.9853658536585366
"[16, 8]",Sigmoid,25,0.1,64,0.9707317073170731
"[16, 8]",Sigmoid,25,0.01,16,0.8878048780487805
"[16, 8]",Sigmoid,25,0.01,32,0.848780487804878
"[16, 8]",Sigmoid,25,0.01,64,0.8390243902439024
"[16, 8]",Sigmoid,25,0.001,16,0.7853658536585366
"[16, 8]",Sigmoid,25,0.001,32,0.7951219512195122
"[16, 8]",Sigmoid,25,0.001,64,0.8048780487804879
"[16, 8]",Sigmoid,50,0.1,16,1.0
"[16, 8]",Sigmoid,50,0.1,32,1.0
"[16, 8]",Sigmoid,50,0.1,64,0.9951219512195122
"[16, 8]",Sigmoid,50,0.01,16,0.9853658536585366
"[16, 8]",Sigmoid,50,0.01,32,0.9512195121951219
"[16, 8]",Sigmoid,50,0.01,64,0.8926829268292683
"[16, 8]",Sigmoid,50,0.001,16,0.7853658536585366
"[16, 8]",Sigmoid,50,0.001,32,0.7804878048780488
"[16, 8]",Sigmoid,50,0.001,64,0.7853658536585366
"[16, 8]",Tanh,10,0.1,16,0.9024390243902439
"[16, 8]",Tanh,10,0.1,32,0.8975609756097561
"[16, 8]",Tanh,10,0.1,64,0.9170731707317074
"[16, 8]",Tanh,10,0.01,16,0.9121951219512195
"[16, 8]",Tanh,10,0.01,32,0.8878048780487805
"[16, 8]",Tanh,10,0.01,64,0.8390243902439024
"[16, 8]",Tanh,10,0.001,16,0.8048780487804879
"[16, 8]",Tanh,10,0.001,32,0.7951219512195122
"[16, 8]",Tanh,10,0.001,64,0.7853658536585366
"[16, 8]",Tanh,25,0.1,16,0.9073170731707317
"[16, 8]",Tanh,25,0.1,32,0.9463414634146341
"[16, 8]",Tanh,25,0.1,64,0.9853658536585366
"[16, 8]",Tanh,25,0.01,16,0.9853658536585366
"[16, 8]",Tanh,25,0.01,32,0.9804878048780488
"[16, 8]",Tanh,25,0.01,64,0.9512195121951219
"[16, 8]",Tanh,25,0.001,16,0.8390243902439024
"[16, 8]",Tanh,25,0.001,32,0.8195121951219512
"[16, 8]",Tanh,25,0.001,64,0.8048780487804879
"[16, 8]",Tanh,50,0.1,16,0.8878048780487805
"[16, 8]",Tanh,50,0.1,32,0.8878048780487805
"[16, 8]",Tanh,50,0.1,64,0.9707317073170731
"[16, 8]",Tanh,50,0.01,16,0.9853658536585366
"[16, 8]",Tanh,50,0.01,32,0.9853658536585366
"[16, 8]",Tanh,50,0.01,64,0.9853658536585366
"[16, 8]",Tanh,50,0.001,16,0.8926829268292683
"[16, 8]",Tanh,50,0.001,32,0.8585365853658536
"[16, 8]",Tanh,50,0.001,64,0.8292682926829268
"[32, 16, 8]",ReLU,10,0.1,16,0.8048780487804879
"[32, 16, 8]",ReLU,10,0.1,32,0.8536585365853658
"[32, 16, 8]",ReLU,10,0.1,64,0.8780487804878049
"[32, 16, 8]",ReLU,10,0.01,16,0.9317073170731708
"[32, 16, 8]",ReLU,10,0.01,32,0.9365853658536586
"[32, 16, 8]",ReLU,10,0.01,64,0.9512195121951219
"[32, 16, 8]",ReLU,10,0.001,16,0.8731707317073171
"[32, 16, 8]",ReLU,10,0.001,32,0.8195121951219512
"[32, 16, 8]",ReLU,10,0.001,64,0.8048780487804879
"[32, 16, 8]",ReLU,25,0.1,16,0.4975609756097561
"[32, 16, 8]",ReLU,25,0.1,32,0.9024390243902439
"[32, 16, 8]",ReLU,25,0.1,64,0.8878048780487805
"[32, 16, 8]",ReLU,25,0.01,16,0.9560975609756097
"[32, 16, 8]",ReLU,25,0.01,32,0.9853658536585366
"[32, 16, 8]",ReLU,25,0.01,64,0.9853658536585366
"[32, 16, 8]",ReLU,25,0.001,16,0.9365853658536586
"[32, 16, 8]",ReLU,25,0.001,32,0.8829268292682927
"[32, 16, 8]",ReLU,25,0.001,64,0.8634146341463415
"[32, 16, 8]",ReLU,50,0.1,16,0.824390243902439
"[32, 16, 8]",ReLU,50,0.1,32,0.8341463414634146
"[32, 16, 8]",ReLU,50,0.1,64,0.8926829268292683
"[32, 16, 8]",ReLU,50,0.01,16,0.9804878048780488
"[32, 16, 8]",ReLU,50,0.01,32,0.9853658536585366
"[32, 16, 8]",ReLU,50,0.01,64,0.9853658536585366
"[32, 16, 8]",ReLU,50,0.001,16,0.9853658536585366
"[32, 16, 8]",ReLU,50,0.001,32,0.9853658536585366
"[32, 16, 8]",ReLU,50,0.001,64,0.9560975609756097
"[32, 16, 8]",Sigmoid,10,0.1,16,0.8390243902439024
"[32, 16, 8]",Sigmoid,10,0.1,32,0.8439024390243902
"[32, 16, 8]",Sigmoid,10,0.1,64,0.848780487804878
"[32, 16, 8]",Sigmoid,10,0.01,16,0.824390243902439
"[32, 16, 8]",Sigmoid,10,0.01,32,0.824390243902439
"[32, 16, 8]",Sigmoid,10,0.01,64,0.8390243902439024
"[32, 16, 8]",Sigmoid,10,0.001,16,0.7902439024390244
"[32, 16, 8]",Sigmoid,10,0.001,32,0.7463414634146341
"[32, 16, 8]",Sigmoid,10,0.001,64,0.7268292682926829
"[32, 16, 8]",Sigmoid,25,0.1,16,0.9073170731707317
"[32, 16, 8]",Sigmoid,25,0.1,32,0.926829268292683
"[32, 16, 8]",Sigmoid,25,0.1,64,0.9219512195121952
"[32, 16, 8]",Sigmoid,25,0.01,16,0.8975609756097561
"[32, 16, 8]",Sigmoid,25,0.01,32,0.848780487804878
"[32, 16, 8]",Sigmoid,25,0.01,64,0.8585365853658536
"[32, 16, 8]",Sigmoid,25,0.001,16,0.7902439024390244
"[32, 16, 8]",Sigmoid,25,0.001,32,0.8195121951219512
"[32, 16, 8]",Sigmoid,25,0.001,64,0.7902439024390244
"[32, 16, 8]",Sigmoid,50,0.1,16,0.9073170731707317
"[32, 16, 8]",Sigmoid,50,0.1,32,0.9512195121951219
"[32, 16, 8]",Sigmoid,50,0.1,64,0.9512195121951219
"[32, 16, 8]",Sigmoid,50,0.01,16,0.8585365853658536
"[32, 16, 8]",Sigmoid,50,0.01,32,0.8585365853658536
"[32, 16, 8]",Sigmoid,50,0.01,64,0.8975609756097561
"[32, 16, 8]",Sigmoid,50,0.001,16,0.8048780487804879
"[32, 16, 8]",Sigmoid,50,0.001,32,0.8
"[32, 16, 8]",Sigmoid,50,0.001,64,0.8097560975609757
"[32, 16, 8]",Tanh,10,0.1,16,0.8097560975609757
"[32, 16, 8]",Tanh,10,0.1,32,0.848780487804878
"[32, 16, 8]",Tanh,10,0.1,64,0.8390243902439024
"[32, 16, 8]",Tanh,10,0.01,16,0.9365853658536586
"[32, 16, 8]",Tanh,10,0.01,32,0.848780487804878
"[32, 16, 8]",Tanh,10,0.01,64,0.8585365853658536
"[32, 16, 8]",Tanh,10,0.001,16,0.7902439024390244
"[32, 16, 8]",Tanh,10,0.001,32,0.7902439024390244
"[32, 16, 8]",Tanh,10,0.001,64,0.7951219512195122
"[32, 16, 8]",Tanh,25,0.1,16,0.8195121951219512
"[32, 16, 8]",Tanh,25,0.1,32,0.848780487804878
"[32, 16, 8]",Tanh,25,0.1,64,0.9024390243902439
"[32, 16, 8]",Tanh,25,0.01,16,0.9853658536585366
"[32, 16, 8]",Tanh,25,0.01,32,0.9609756097560975
"[32, 16, 8]",Tanh,25,0.01,64,1.0
"[32, 16, 8]",Tanh,25,0.001,16,0.848780487804878
"[32, 16, 8]",Tanh,25,0.001,32,0.8585365853658536
"[32, 16, 8]",Tanh,25,0.001,64,0.7902439024390244
"[32, 16, 8]",Tanh,50,0.1,16,0.848780487804878
"[32, 16, 8]",Tanh,50,0.1,32,0.8195121951219512
"[32, 16, 8]",Tanh,50,0.1,64,0.848780487804878
"[32, 16, 8]",Tanh,50,0.01,16,0.9853658536585366
"[32, 16, 8]",Tanh,50,0.01,32,0.9853658536585366
"[32, 16, 8]",Tanh,50,0.01,64,0.9853658536585366
"[32, 16, 8]",Tanh,50,0.001,16,0.9853658536585366
"[32, 16, 8]",Tanh,50,0.001,32,0.9414634146341463
"[32, 16, 8]",Tanh,50,0.001,64,0.8731707317073171
